benchmark,2x,4x_RS,HQ-2x,HQ-4x_RS,HQ-base,base,it
flores101_dataset - as,48.1,42.9,48.2,44.3,45.5,44.8,48.2
flores101_dataset - bn,56.4,52.9,56.6,54.1,55.0,54.7,56.9
flores101_dataset - gu,58.4,55.2,58.9,56.5,56.9,56.2,58.7
flores101_dataset - hi,60.4,58.4,60.8,59.4,59.1,58.7,61.3
flores101_dataset - kn,53.8,51.2,54.1,52.2,52.5,52.2,54.6
flores101_dataset - ml,56.1,52.5,56.8,54.0,54.9,54.3,57.2
flores101_dataset - mr,56.2,52.0,56.7,53.6,54.3,54.0,56.4
flores101_dataset - or,54.9,50.7,55.8,52.6,53.4,53.0,55.5
flores101_dataset - pa,58.9,56.1,59.2,57.2,56.9,56.4,60.0
flores101_dataset - ta,53.2,50.1,53.6,51.2,51.4,51.1,54.1
flores101_dataset - te,57.6,54.2,58.1,55.2,56.1,55.7,58.2
pmi - as,47.9,44.4,48.3,45.4,45.7,45.2,50.1
ufal-ta - ta,51.2,47.2,51.4,48.1,48.1,48.3,53.3
wat2020-devtest - bn,43.9,42.4,44.3,43.4,43.3,43.0,44.0
wat2020-devtest - gu,48.6,46.3,49.0,47.6,48.2,47.7,48.6
wat2020-devtest - hi,48.3,46.1,48.7,47.2,47.6,47.1,48.1
wat2020-devtest - ml,43.9,42.5,44.5,43.3,43.4,43.1,44.5
wat2020-devtest - mr,45.0,43.4,45.5,44.2,44.7,44.2,44.9
wat2020-devtest - ta,42.6,41.3,42.9,42.2,41.9,41.5,42.8
wat2020-devtest - te,42.6,41.1,43.2,42.0,42.2,41.6,43.0
wat2021-devtest - bn,53.1,51.7,53.2,52.1,51.8,51.9,53.7
wat2021-devtest - gu,62.0,60.4,62.3,61.0,60.8,60.6,62.8
wat2021-devtest - hi,65.2,64.2,65.3,64.1,64.0,64.1,66.2
wat2021-devtest - kn,58.9,57.2,59.4,58.0,57.4,57.4,59.9
wat2021-devtest - ml,57.3,55.6,57.9,56.6,56.0,55.8,58.4
wat2021-devtest - mr,56.4,54.9,56.6,55.6,54.8,54.7,57.1
wat2021-devtest - or,56.1,54.6,56.5,55.1,54.8,54.5,57.1
wat2021-devtest - pa,64.5,63.1,64.5,63.2,62.8,62.8,65.2
wat2021-devtest - ta,55.4,53.7,55.6,54.5,53.7,53.8,56.5
wat2021-devtest - te,59.0,57.1,59.3,57.8,57.3,57.1,59.7
wmt-news - gu,50.6,48.6,53.4,52.1,53.2,50.8,50.5
wmt-news - hi,56.2,53.7,56.9,55.2,55.6,54.8,56.6
wmt-news - ta,50.0,46.2,50.8,47.7,48.7,47.8,50.2
