indicTrans,baseline,distil,adaptive-distil,batch-distil,global-distil,global-multi-distil,global-multi-adaptive-distil
 29.5, 26.9, 26.8, 26.6, 27.1, 26.7, 26.2, 26.5
 40.2, 38.0, 37.9, 38.1, 38.0, 38.1, 37.8, 37.9
 43.9, 41.2, 41.0, 41.1, 41.4, 41.3, 40.8, 41.2
 36.5, 33.9, 33.7, 33.2, 33.8, 33.5, 32.9, 33.8
 34.7, 32.2, 31.9, 31.6, 31.9, 31.9, 31.7, 31.8
 33.5, 31.1, 31.2, 30.9, 31.0, 31.1, 30.8, 31.0
 34.3, 31.5, 31.5, 31.2, 31.4, 31.6, 31.4, 31.3
 43.2, 40.3, 40.2, 40.4, 40.2, 40.4, 39.9, 39.9
 33.1, 30.1, 30.1, 29.8, 29.9, 30.1, 29.9, 29.9
 36.1, 33.2, 33.5, 33.3, 33.7, 33.3, 32.9, 33.3
 19.9, 19.2, 19.3, 19.2, 19.5, 19.4, 19.1, 19.3
 24.1, 23.2, 23.4, 23.4, 23.2, 23.2, 23.2, 23.3
 23.6, 22.9, 23.0, 22.7, 22.9, 23.0, 22.8, 22.7
 20.4, 19.1, 19.4, 18.9, 19.4, 19.5, 19.2, 19.3
 20.4, 19.9, 20.0, 19.7, 20.0, 20.1, 19.9, 20.0
 18.2, 17.2, 17.6, 17.3, 17.6, 17.5, 17.5, 17.4
 18.5, 17.5, 17.7, 17.5, 17.7, 17.4, 17.3, 17.4
 25.2, 25.0, 26.0, 25.3, 25.4, 26.2, 25.4, 25.8
 29.7, 27.6, 27.6, 27.6, 27.8, 27.7, 27.4, 27.6
 24.2, 22.2, 22.7, 22.1, 22.1, 22.4, 22.1, 22.3
 30.2, 24.8, 24.6, 24.1, 24.3, 24.6, 24.0, 24.2
 29.8, 24.3, 24.6, 24.3, 24.3, 24.8, 23.8, 24.2
 23.3, 20.8, 20.6, 20.8, 20.5, 20.9, 20.0, 20.5
 31.8, 29.4, 29.3, 29.2, 28.7, 29.1, 28.9, 29.1
 34.1, 31.4, 31.6, 31.3, 31.6, 31.6, 31.1, 31.7
 37.5, 34.7, 34.8, 35.0, 34.8, 35.2, 34.9, 34.8
 28.7, 26.4, 26.4, 26.2, 26.1, 26.6, 26.2, 26.2
 31.4, 28.5, 28.3, 28.2, 28.5, 28.6, 28.2, 28.3
 31.0, 28.5, 28.7, 28.4, 28.0, 28.4, 28.2, 28.1
 29.8, 27.0, 27.3, 27.4, 27.5, 27.3, 27.0, 27.4
 35.8, 31.6, 31.6, 32.0, 32.2, 31.9, 31.5, 31.8
 28.4, 25.4, 25.6, 25.2, 25.4, 26.0, 24.9, 25.6
 33.4, 30.7, 31.1, 30.7, 30.8, 31.2, 30.8, 30.6
